City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
428,pundaguitan,6.3711,126.1689,26.68,78,100,6.26,PH,1676141339
429,shubarkuduk,49.1447,56.4872,-15.59,99,94,1.61,KZ,1676141340
430,nome,64.5011,-165.4064,-13.96,78,100,3.09,US,1676141340
431,balykshi,47.0667,51.8667,-11.0,85,100,3.0,KZ,1676141340
432,mehran,33.1222,46.1646,12.25,39,100,0.3,IR,1676141235
433,povazska bystrica,49.1215,18.4217,1.3,93,100,2.06,SK,1676141341
434,nambucca heads,-30.65,153.0,23.0,85,1,1.84,AU,1676141341
435,naryan-mar,67.6713,53.087,-5.25,93,98,8.46,RU,1676141341
436,santo antonio da platina,-23.295,-50.0772,19.94,97,100,2.12,BR,1676141342
437,agnibilekrou,7.1344,-3.2047,30.6,33,56,0.6,CI,1676141342
438,mount gambier,-37.8333,140.7667,12.97,76,6,3.86,AU,1676141343
439,russell,32.3502,-85.1999,11.22,93,100,4.12,US,1676141343
440,kismayo,-0.3582,42.5454,24.76,81,100,8.76,SO,1676141343
441,huarmey,-10.0681,-78.1522,24.76,77,97,4.49,PE,1676141344
442,kostek,43.3439,46.8541,-4.45,94,98,0.62,RU,1676141344
443,yarada,17.65,83.2667,24.18,100,20,1.03,IN,1676141344
444,caiaponia,-16.9567,-51.8103,28.81,56,88,3.12,BR,1676141345
445,lima,-12.0432,-77.0282,25.14,69,0,5.66,PE,1676141132
446,sarkand,45.41,79.9186,-7.37,70,100,3.07,KZ,1676141345
447,mayya,61.7333,130.2811,-42.38,100,96,0.54,RU,1676141345
448,praxedis guerrero,31.3667,-106.0167,12.24,14,100,6.99,MX,1676141346
449,kearney,40.6995,-99.0815,4.63,51,0,7.2,US,1676141230
450,havelock,34.8791,-76.9013,12.97,67,100,6.69,US,1676141346
451,det udom,14.906,105.0784,26.9,56,7,2.79,TH,1676141346
452,charagua,-19.8,-63.2167,33.76,57,91,1.53,BO,1676141347
453,bredy,52.4153,60.3411,-13.43,93,7,4.83,RU,1676141347
454,ust-kuyga,70.0167,135.6,-50.68,100,84,1.93,RU,1676141347
455,vao,-22.6667,167.4833,25.2,77,0,13.42,NC,1676141348
456,ust-maya,60.4167,134.5333,-31.45,99,99,0.45,RU,1676141348
457,guararapes,-21.2608,-50.6428,28.99,74,100,3.11,BR,1676141348
458,mbala,-8.8402,31.3659,16.8,85,100,1.23,ZM,1676141349
459,warmbad,-28.45,18.7333,26.63,38,0,8.9,,1676141349
460,birjand,32.8663,59.2211,-0.74,47,0,2.06,IR,1676141350
461,lakselv,70.0513,24.9718,-1.1,80,75,15.43,NO,1676141350
462,havre-saint-pierre,50.2334,-63.5986,-10.0,48,0,5.14,CA,1676141351
463,miri,4.4148,114.0089,25.08,94,40,0.0,MY,1676141351
464,manokwari,-0.8667,134.0833,25.1,80,100,2.9,ID,1676141351
465,ulladulla,-35.35,150.4667,19.4,77,2,3.27,AU,1676141352
466,sovetskiy,61.3614,63.5842,-6.36,94,100,4.41,RU,1676141352
467,salinopolis,-0.6136,-47.3561,28.06,75,31,4.33,BR,1676141270
468,gorontalo,0.5412,123.0595,22.67,92,58,1.79,ID,1676141352
469,great falls,47.5002,-111.3008,6.34,45,0,5.66,US,1676141353
470,mrakovo,52.7161,56.6244,-15.47,99,100,1.85,RU,1676141353
471,ponta delgada,37.7333,-25.6667,15.4,88,20,1.54,PT,1676141353
472,makinsk,52.6292,70.4169,-24.45,100,100,1.22,KZ,1676141354
473,tosya,41.0155,34.0401,-4.27,93,49,0.68,TR,1676141354
474,pandan,14.0453,124.1694,24.7,88,91,3.64,PH,1676141354
475,praya,14.9215,-23.5087,23.3,60,75,7.72,CV,1676141355
476,garissa,-0.4536,39.6401,29.82,24,6,3.56,KE,1676141355
477,negombo,7.2083,79.8358,25.03,88,0,2.57,LK,1676141355
478,tynda,55.1667,124.7167,-32.3,100,27,1.34,RU,1676141356
479,mehamn,71.0357,27.8492,0.97,69,40,10.8,NO,1676141356
480,flinders,-34.5833,150.8552,20.59,70,0,4.81,AU,1676141356
481,atocha,-20.9333,-66.2333,15.79,44,100,5.4,BO,1676141357
482,ajdabiya,30.7554,20.2263,14.49,59,99,5.47,LY,1676141357
483,hervey bay,-25.2986,152.8535,22.77,79,0,1.06,AU,1676141358
484,laukaa,58.7372,29.8453,-5.48,90,13,4.3,RU,1676141358
485,baruun-urt,46.6806,113.2792,-19.82,96,18,1.31,MN,1676141358
486,madaoua,14.073,5.96,25.86,11,0,5.11,NE,1676141359
487,keflavik,64.0049,-22.5624,2.24,69,75,21.09,IS,1676141359
488,cayenne,4.9333,-52.3333,25.02,94,100,4.12,GF,1676141359
489,melita,49.2681,-100.9967,-0.81,89,95,3.21,CA,1676141360
490,ledyard,41.4398,-72.0142,7.83,40,6,2.24,US,1676141360
491,dwarka,22.2394,68.9678,21.52,82,0,4.21,IN,1676141360
492,reo,12.3167,-2.4667,31.51,8,0,4.4,BF,1676141361
493,saurimo,-9.6608,20.3916,20.67,89,87,1.59,AO,1676141361
494,ndungu,-4.3667,38.05,23.48,81,99,2.13,TZ,1676141361
495,moose factory,51.2585,-80.6094,-5.0,73,75,5.14,CA,1676141362
496,buala,-8.145,159.5921,25.81,76,100,1.99,SB,1676141362
497,cabedelo,-6.9811,-34.8339,29.37,67,95,5.75,BR,1676141362
498,katsuura,35.1333,140.3,10.64,63,100,1.63,JP,1676141363
499,sosnovo-ozerskoye,52.5249,111.5418,-22.55,97,59,3.71,RU,1676141363
500,moyobamba,-6.05,-76.9667,24.16,84,43,1.74,PE,1676141363
501,christchurch,-43.5333,172.6333,16.62,90,20,1.54,NZ,1676141097
502,punta cardon,11.6581,-70.215,26.91,66,3,14.13,VE,1676141364
503,matamoros,25.5333,-103.25,12.84,33,82,1.65,MX,1676141364
504,mecca,21.4267,39.8261,23.75,73,85,3.91,SA,1676141365
505,ayan,56.45,138.1667,-21.77,82,99,3.31,RU,1676141365
506,bo rai,12.5728,102.5371,27.63,93,97,1.01,TH,1676141365
507,thurso,58.5927,-3.5259,10.14,77,100,8.39,GB,1676141125
508,kamaishi,39.2667,141.8833,0.72,82,10,3.04,JP,1676141366
509,ugoofaaru,5.6667,73.0,26.53,70,13,2.12,MV,1676141366
510,cedar city,37.6775,-113.0619,7.54,31,0,4.12,US,1676141223
511,liverpool,53.4106,-2.9779,9.3,81,75,2.57,GB,1676141366
512,zheleznodorozhnyy,55.7503,38.0042,-1.47,96,100,6.46,RU,1676141367
513,pudozh,61.8099,36.5345,-18.94,100,100,0.81,RU,1676141367
514,san rafael,-34.6177,-68.3301,36.7,20,0,3.08,AR,1676141368
515,bara,10.3744,10.7288,26.74,10,0,3.96,NG,1676141187
516,teguldet,57.3064,88.1667,-27.91,100,72,1.34,RU,1676141368
517,shingu,33.7333,135.9833,8.91,82,53,2.09,JP,1676141368
518,puerto madero,14.7208,-92.4215,29.28,61,0,4.99,MX,1676141369
519,gizo,-8.103,156.8419,27.48,77,100,4.91,SB,1676141369
520,yining,29.0361,114.5636,10.88,99,99,0.24,CN,1676141369
521,tarakan,3.3,117.6333,25.73,84,100,3.59,ID,1676141370
522,viedma,-40.8135,-62.9967,36.1,20,67,2.57,AR,1676141370
523,leo,11.1,-2.1,30.1,10,0,3.68,BF,1676141371
524,sur,22.5667,59.5289,21.49,68,0,4.39,OM,1676141371
525,souillac,-20.5167,57.5167,26.21,73,40,3.6,MU,1676141371
526,porto novo,6.4965,2.6036,28.9,79,21,3.91,BJ,1676141372
527,trairi,-3.2778,-39.2689,29.2,65,14,6.19,BR,1676141262
528,harlingen,26.1906,-97.6961,17.89,23,0,8.75,US,1676141306
529,isangel,-19.55,169.2667,26.29,87,100,7.97,VU,1676141372
530,yadgir,16.7667,77.1333,24.9,20,62,2.64,IN,1676141373
531,san cristobal,7.7669,-72.225,25.1,70,100,2.02,VE,1676141328
532,faya,18.3851,42.4509,15.06,50,0,1.84,SA,1676141373
533,pemba,-12.974,40.5178,26.39,94,75,5.36,MZ,1676141373
534,emba,48.8264,58.1442,-17.51,100,97,0.74,KZ,1676141374
535,lere,10.387,8.5726,24.18,10,1,3.14,NG,1676141374
536,road town,18.4167,-64.6167,28.05,61,40,5.66,VG,1676141271
537,venado tuerto,-33.7456,-61.9688,40.93,15,100,6.17,AR,1676141375
538,mpika,-11.8343,31.4529,17.8,94,100,2.61,ZM,1676141375
539,la gomera,14.0833,-91.05,34.41,32,0,5.26,GT,1676141376
540,buraydah,26.326,43.975,21.25,28,100,7.1,SA,1676141205
541,harper,4.375,-7.7169,27.12,83,39,2.88,LR,1676141376
